_not-found.html	title	DocTalk — AI Document Chat with Cited Answers
_not-found.html	desc	Upload any document and chat with AI. Get instant answers with source citations that highlight in your document. Supports PDF, DOCX, PPTX, XLSX, and more.
_not-found.html	ogt	DocTalk — AI Document Chat
_not-found.html	ogd	Chat with your documents. AI answers with page-level citations.
about.html	title	About DocTalk: Verified AI Document Chat | DocTalk
about.html	desc	Learn what DocTalk does, who it is for, how it approaches trustworthy AI document analysis, and how to contact the team.
about.html	ogt	About DocTalk
about.html	ogd	Learn what DocTalk does, who it is for, how it approaches trustworthy AI document analysis, and how to contact the team.
admin.html	title	DocTalk — AI Document Chat with Cited Answers
admin.html	desc	Upload any document and chat with AI. Get instant answers with source citations that highlight in your document. Supports PDF, DOCX, PPTX, XLSX, and more.
admin.html	ogt	DocTalk — AI Document Chat
admin.html	ogd	Chat with your documents. AI answers with page-level citations.
alternatives/askyourpdf.html	title	7 Best AskYourPDF Alternatives in 2026 (Free & Paid) | DocTalk
alternatives/askyourpdf.html	desc	Looking for AskYourPDF alternatives? Compare DocTalk, ChatPDF, PDF.ai, Humata, NotebookLM, ChatDOC, and Consensus. Find the best AI document tool for your needs.
alternatives/askyourpdf.html	ogt	7 Best AskYourPDF Alternatives in 2026 (Free & Paid) | DocTalk
alternatives/askyourpdf.html	ogd	The top 7 AskYourPDF alternatives ranked by features, pricing, and use case. Multi-format tools, citation systems, and free options.
alternatives/chatpdf.html	title	7 Best ChatPDF Alternatives in 2026 (Free & Paid) | DocTalk
alternatives/chatpdf.html	desc	Looking for ChatPDF alternatives? Compare DocTalk, AskYourPDF, Humata, NotebookLM, PDF.ai, ChatDOC, and Sharly. Find the best AI document tool for your needs.
alternatives/chatpdf.html	ogt	7 Best ChatPDF Alternatives in 2026 (Free & Paid) | DocTalk
alternatives/chatpdf.html	ogd	The top 7 ChatPDF alternatives ranked by features, pricing, and use case. Multi-format tools, citation systems, and free options.
alternatives/humata.html	title	5 Best Humata AI Alternatives in 2026 | DocTalk
alternatives/humata.html	desc	Compare the best Humata alternatives, including DocTalk, ChatPDF, AskYourPDF, NotebookLM, and PDF.ai, for pricing, citations, and language support.
alternatives/humata.html	ogt	5 Best Humata AI Alternatives in 2026 | DocTalk
alternatives/humata.html	ogd	Top Humata alternatives ranked by features, pricing, and use case. Citation highlighting, multi-format support, and free options.
alternatives/notebooklm.html	title	Best NotebookLM Alternatives for Documents | DocTalk
alternatives/notebooklm.html	desc	Compare NotebookLM alternatives including DocTalk, ChatPDF, AskYourPDF, Humata, Consensus, and Elicit for document analysis without Google lock-in.
alternatives/notebooklm.html	ogt	Best NotebookLM Alternatives for Documents | DocTalk
alternatives/notebooklm.html	ogd	Top NotebookLM alternatives for AI document analysis. Citation highlighting, multi-format support, and privacy-first options.
alternatives/pdf-ai.html	title	7 Best PDF.ai Alternatives in 2026 (Free & Paid) | DocTalk
alternatives/pdf-ai.html	desc	Looking for PDF.ai alternatives? Compare DocTalk, ChatPDF, AskYourPDF, Humata, NotebookLM, ChatDOC, and Sharly. Find the best AI document tool for your needs.
alternatives/pdf-ai.html	ogt	7 Best PDF.ai Alternatives in 2026 (Free & Paid) | DocTalk
alternatives/pdf-ai.html	ogd	The top 7 PDF.ai alternatives ranked by features, pricing, and use case. Multi-format tools, citation systems, and free options.
alternatives.html	title	Best Alternatives to ChatPDF, NotebookLM, Humata & More | DocTalk
alternatives.html	desc	Find the best alternatives to ChatPDF, NotebookLM, Humata, AskYourPDF, PDF.ai, and other AI document tools with comparisons on features, pricing, and best-fit use cases.
alternatives.html	ogt	AI Document Tool Alternatives | DocTalk
alternatives.html	ogd	Find the best alternatives to ChatPDF, NotebookLM, Humata, AskYourPDF, PDF.ai, and other AI document tools with comparisons on features, pricing, and best-fit use cases.
ar/alternatives/askyourpdf.html	title	أفضل 7 بدائل لـ AskYourPDF في عام 2026 | DocTalk
ar/alternatives/askyourpdf.html	desc	AskYourPDF هي أداة محادثة PDF بالذكاء الاصطناعي شائعة، ولكن لديها قيود في دعم تنسيقات الملفات والتحقق من الاستشهادات. سواء كنت بحاجة إلى تحليل مستندات متعددة التنسيقات، أو تمييز استشهادات أفضل، أو تسعير أكثر معقولية، فإن هذه البدائل السبعة تقدم خيارات مقنعة لكل حالة استخدام.
ar/alternatives/askyourpdf.html	ogt	أفضل 7 بدائل لـ AskYourPDF في عام 2026 | DocTalk
ar/alternatives/askyourpdf.html	ogd	AskYourPDF هي أداة محادثة PDF بالذكاء الاصطناعي شائعة، ولكن لديها قيود في دعم تنسيقات الملفات والتحقق من الاستشهادات. سواء كنت بحاجة إلى تحليل مستندات متعددة التنسيقات، أو تمييز استشهادات أفضل، أو تسعير أكثر معقولية، فإن هذه البدائل السبعة تقدم خيارات مقنعة لكل حالة استخدام.
ar/alternatives/chatpdf.html	title	أفضل 7 بدائل لـ ChatPDF في 2026 (مجانية ومدفوعة) | DocTalk
